Año,PAÍS,Jugador,Goles,Equipo,Ciudad,TipoTorneo,Periodo,,,,,,
2023, Colombia,Marco Pérez,13,Águilas Doradas,Rionegro,Semestral,i,,,,,,
2023, Colombia,Carlos Bacca,18,Junior,Barranquilla,Semestral,ii,,,,,,
2022, Colombia,Dayro Moreno,13,Atlético Bucaramanga,Bucaramanga,Semestral,i,,,,,,
2022, Colombia,Leonardo Fabio Castro,15,Deportivo Pereira,Pereira,Semestral,ii,,,,,,
2021, Colombia,Jefferson Duque,11,Atlético Nacional,Medellín,Semestral,i,,,,,,
2021, Colombia,Fernando Uribe,11,Millonarios,Bogotá,Semestral,i,,,Jugardor a Buscar,Equipo,Año,Goles
2021, Colombia,Diego Herazo,11,La Equidad,Bogotá,Semestral,i,,,Marco Pérez,#N/A,,
2021, Colombia,Harold Preciado,13,Deportivo Cali,Cali,Semestral,ii,,,,,,
2020, Colombia,Miguel Borja,14,Junior,Barranquilla,Covid,i,,,,,,
2019, Argentina,Germán Cano,21,Independiente Medellín,Medellín,Semestral,i,,,,,,
2019, Argentina,German Cano,13,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2019, Colombia,Michael Rangel,13,America de Cali,Cali,Semestral,ii,,,,,,
2018, Argentina,Germán Cano,12,Independiente Medellín,Medellín,Semestral,i,,,,,,
2018, Argentina,Germán Cano,20,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2017, Colombia,Dayro Moreno,14,Atlético Nacional,Medellín,Semestral,i,,,,,,
2017, Colombia,Ayron del Valle,11,Millonarios,Bogotá,Semestral,ii,,,,,,
2017, Colombia,Yimmi Chará,11,Junior,Barranquilla,Semestral,ii,,,,,,
2017, Colombia,Dayro Moreno,11,Atlético Nacional,Medellín,Semestral,ii,,,,,,
2017, Colombia,Carmelo Valencia,11,La Equidad,Bogotá,Semestral,ii,,,,,,
2016, Colombia,Miguel Borja,19,Cortuluá,Tulúa,Semestral,i,,,,,,
2016, Colombia,Ayron del Valle,12,Millonarios,Bogotá,Semestral,ii,,,,,,
2015, Colombia,Fernando Uribe,15,Millonarios,Bogotá,Semestral,i,,,,,,
2015, Colombia,Jefferson Duque,15,Atlético Nacional,Medellín,Semestral,ii,,,,,,
2014, Colombia,Dayro Moreno,13,Millonarios,Bogotá,Semestral,i,,,,,,
2014, Argentina,Germán Cano,16,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2013, Colombia,Wilder Medina,12,Santa Fe,Bogotá,Semestral,i,,,,,,
2013, Colombia,Dayro Moreno,16,Millonarios,Bogotá,Semestral,ii,,,,,,
2013, Colombia,Luis Carlos Ruiz,16,Junior,Barranquilla,Semestral,ii,,,,,,
2012,Paraguay,Robin Ramírez,13,Deportes Tolima,Ibagué,Semestral,i,,,,,,
2012, Argentina,Germán Cano,9,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2012, Colombia,Henry Hernández,9,Cúcuta Deportivo,Cúcuta,Semestral,ii,,,,,,
2012, Colombia,Carmelo Valencia,9,La Equidad,Bogotá,Semestral,ii,,,,,,
2011, Colombia,Carlos Bacca,12,Junior,Barranquilla,Semestral,ii,,,,,,
2011, Colombia,Carlos Rentería,12,Atlético Nacional,Medellín,Semestral,i,,,,,,
2010, Colombia,Wilder Medina,16,Deportes Tolima,Ibagué,Semestral,ii,,,,,,
2010, Colombia,Dayro Moreno,16,Atlético Nacional,Medellín,Semestral,ii,,,,,,
2010, Colombia,Carlos Bacca,12,Junior,Barranquilla,Semestral,i,,,,,,
2010, Colombia,Carlos Rentería,12,La Equidad,Bogotá,Semestral,i,,,,,,
2009, Colombia,Jackson Martínez,18,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2009, Colombia,Teófilo Gutiérrez,16,Junior,Barranquilla,Semestral,i,,,,,,
2008, Colombia,Freddy Montero,16,Deportivo Cali,Cali,Semestral,ii,,,,,,
2008, Argentina,Miguel Caneo,13,Boyacá Chicó,Tunja,Semestral,i,,,,,,
2008, Colombia,Iván Velásquez,13,Deportes Quindío,Armenia,Semestral,i,,,,,,
2007, Colombia,Freddy Montero,13,Atlético Huila,Neiva,Semestral,i,,,,,,
2007, Argentina,Sergio Galván,13,Atlético Nacional,Medellín,Semestral,i,,,,,,
2007, Colombia,Dayro Moreno,16,Once Caldas,Manizales,Semestral,ii,,,,,,
2006, Colombia,Diego Álvarez,11,Independiente Medellín,Medellín,Semestral,ii,,,,,,
2006,Colombia,John Charria,11,Deportes Tolima,Ibagué,Semestral,ii,,,,,,
2006, Colombia,Jorge Díaz,15,Cúcuta Deportivo,Cúcuta,Semestral,i,,,,,,
2005, Colombia,Jámerson Rentería,12,Real Cartagena,Cartagena,Semestral,ii,,,,,,
2005,Colombia,Hugo Rodallega,12,Deportivo Cali,Cali,Semestral,ii,,,,,,
2005, Colombia,Víctor Hugo Aristizábal,16,Atlético Nacional,Medellín,Semestral,i,,,,,,
2004, Colombia,Leonardo Fabio Moreno,15,América de Cali,Cali,Semestral,ii,,,,,,
2004,Colombia,Léider Preciado,15,Santa Fe,Bogotá,Semestral,II,,,,,,
2004, Colombia,Sergio Herrera,13,América de Cali,Cali,Semestral,i,,,,,,
2003, Colombia,Léider Preciado,17,Deportivo Cali,Cali,Semestral,ii,,,,,,
2003, Colombia,Arnulfo Valentierra,13,Once Caldas,Manizales,Semestral,i,,,,,,
2002, Colombia,Orlando Ballesteros,13,Atlético Bucaramanga,Bucaramanga,Semestral,ii,,,,,,
2002,Colombia,Milton Rodríguez,13,Deportivo Pereira,Pereira,Semestral,ii,,,,,,
2002, Colombia,Luis Zuleta,13,Unión Magdalena,Santa Marta,Semestral,i,,,,,,
2001,Colombia,Carlos Castro,29,Millonarios,Bogotá,Anual,i,,,,,,
2001,Colombia,Jorge Serna,29,Independiente Medellín,Medellín,Anual,i,,,,,,
2000, Colombia,Carlos Castro,24,Millonarios,Bogotá,Anual,i,,,,,,
1999, Argentina,Sergio Galván,26,Once Caldas,Manizales,Anual,i,,,,,,
1998, Colombia,Víctor Bonilla,37,Deportivo Cali,Cali,Anual,i,,,,,,
1997, Colombia,Hamilton Ricard,36,Deportivo Cali,Cali,Anual,i,,,,,,
1996, Colombia,Iván René Valenciano,36,Junior,Barranquilla,Anual,i,,,,,,
1995, Colombia,Iván René Valenciano,24,Junior,Barranquilla,Semestral,i,,,,,,
1994, Colombia,Rubén Darío Hernández,32,Independiente Medellín,Medellín,Anual,i,,,,,,
1993, Colombia,Niche Guerrero,34,Junior,Barranquilla,Anual,i,,,,,,
1992, Colombia,John Jairo Tréllez,25,Atlético Nacional,Medellín,Anual,i,,,,,,
1991, Colombia,Iván René Valenciano,30,Junior,Barranquilla,Anual,i,,,,,,
1990, Colombia,Antony de Ávila,25,América de Cali,Cali,Anual,i,,,,,,
1989,Uruguay,Héctor Méndez,17,Deportivo Pereira,Pereira,Anual,i,,,,,,
1988, Colombia,Sergio Angulo,29,Santa Fe,Bogotá,Anual,i,,,,,,
1987, Chile,Jorge Aravena,23,Deportivo Cali,Cali,Anual,i,,,,,,
1986, Argentina,Héctor Sosa,23,Independiente Medellín,Medellín,Anual,i,,,,,,
1985, Argentina,Miguel Oswaldo González,33,Atlético Bucaramanga,Bucaramanga,Anual,i,,,,,,
1984, Argentina,Hugo Gottardi,23,Santa Fe,Bogotá,Anual,i,,,,,,
1983, Argentina,Hugo Gottardi,29,Santa Fe,Bogotá,Anual,i,,,,,,
1982, Argentina,Miguel Oswaldo González,27,Atlético Bucaramanga,Bucaramanga,Anual,i,,,,,,
1981, Argentina,Víctor Hugo del Río,29,Deportes Tolima,Ibagué,Anual,i,,,,,,
1980, Argentina,Sergio Cierra,26,Deportivo Pereira,Pereira,Anual,i,,,,,,
1979, Argentina,Juan Jose Irigoyen,33,Millonarios,Bogotá,Anual,i,,,,,,
1978, Argentina,Oswaldo Marcial Palavecino,36,Atlético Nacional,Medellín,Anual,i,,,,,,
1977, Argentina,Oswaldo Marcial Palavecino,30,Atlético Nacional,Medellín,Anual,i,,,,,,
1976, Argentina,Miguel Ángel Converti,33,Millonarios,Bogotá,Anual,i,,,,,,
1975, Argentina,Jorge Ramón Cáceres,35,Deportivo Pereira,Pereira,Anual,i,,,,,,
1974, Brasil,Víctor Ephanor,33,Junior,Barranquilla,Anual,i,,,,,,
1973,Uruguay,Nelson Silva Pacheco,36,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1972, Argentina,Hugo Horacio Lóndero,30,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1971, Argentina,Hugo Horacio Lóndero,27,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1971,Paraguay,Apolinar Paniagua,27,Deportivo Pereira,Pereira,Anual,i,,,,,,
1970, Argentina,José María Ferrero,27,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1970,Uruguay,Walter Sossa,27,Santa Fe,Bogotá,Anual,i,,,,,,
1969, Argentina,Hugo Horacio Lóndero,24,América de Cali,Cali,Anual,i,,,,,,
1968, Argentina,José María Ferrero,32,Millonarios,Bogotá,Anual,i,,,,,,
1967, Argentina,José María Ferrero,38,Millonarios,Bogotá,Anual,i,,,,,,
1966, Argentina,Omar Lorenzo Devanni,31,Santa Fe,Bogotá,Anual,i,,,,,,
1965, Argentina,Perfecto Rodríguez,38,Independiente Medellín,Medellín,Anual,i,,,,,,
1964, Argentina,Omar Lorenzo Devanni,28,Unión Magdalena,Santa Marta,Anual,i,,,,,,
1963,Uruguay,José Omar Verdún,36,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1963, Argentina,Omar Lorenzo Devanni,36,Atlético Bucaramanga,Bucaramanga,Anual,i,,,,,,
1962,Uruguay,José Omar Verdún,36,Cúcuta Deportivo,Cúcuta,Anual,i,,,,,,
1961, Argentina,Alberto Perazzo,32,Santa Fe,Bogotá,Anual,i,,,,,,
1960, Argentina,Wálter Marcolini,30,Deportivo Cali,Cali,Anual,i,,,,,,
1959, Argentina,Felipe Marino,35,Independiente Medellín,Medellín,Anual,i,,,,,,
1958, Argentina,José Américo Montanini,36,Atlético Bucaramanga,Bucaramanga,Anual,i,,,,,,
1957, Argentina,José Vicente Grecco,30,Independiente Medellín,Medellín,Anual,i,,,,,,
1956, Colombia,Jaime Gutiérrez,21,Deportes Quindío,Armenia,Anual,i,,,,,,
1955, Argentina,Felipe Marino,22,Independiente Medellín,Medellín,Anual,i,,,,,,
1954, Argentina,Carlos Alberto Gambina,21,Atlético Nacional,Medellín,Anual,i,,,,,,
1953, Argentina,Mario Garelli,20,Deportes Quindío,Armenia,Anual,i,,,,,,
1952, Argentina,Alfredo Di Stéfano,19,Millonarios,Bogotá,Anual,i,,,,,,
1951, Argentina,Alfredo Di Stéfano,31,Millonarios,Bogotá,Anual,i,,,,,,
1950,Paraguay,Casimiro Ávalos,27,Deportivo Pereira,Pereira,Anual,i,,,,,,
1949, Argentina,Pedro Cabillón,42,Millonarios,Bogotá,Anual,i,,,,,,
1948, Argentina,Alfredo Castillo,31,Millonarios,Bogotá,Anual,i,,,,,,