Año,Decada,PAÍS,Jugador,Goles,Equipo,Tipo de Torneo,,,,,,
1948,1940s, Argentina,Alfredo Castillo,31,Millonarios,Annual,,,,,,
1949,1940s,Argentina,Pedro Cabillon,42,Millonarios,Annual,,,,,,
1950,1950s,Paraguay,Casimiro Avalos,27,Deportivo Pereira,Annual,,,,,,
1951,1950s, Argentina,Alfredo Di Stefano,31,Millonarios,Annual,,,,,,
1952,1950s,Colombia,Alfredo Di Stefano,19,Millonarios,Annual,,,,,,
1953,1950s,Colombia,Mario Garelli,20,Deportes Quindio,Annual,,,,,,
1954,1950s,Colombia,Carlos Alberto Gambina,21,Atletico Nacional,Annual,,,,,,
1955,1950s,Colombia,Felipe Marino,22,Independiente Medellin,Annual,,,,,,
1956,1950s, Colombia,Jaime Gutierrez,21,Deportes Quindio,Annual,,,,,,
1957,1950s, Argentina,Jose Vicente Grecco,30,Independiente Medellin,Annual,,,,,,
1958,1950s, Argentina,Jose Americo Montanini,36,Atletico Bucaramanga,Annual,,,,,,
1959,1950s, Argentina,Felipe Marino,35,Independiente Medellin,Annual,,,,,,
1960,1960s, Argentina,Walter Marcolini,30,Deportivo Cali,Annual,,,,,,
1961,1960s, Argentina,Alberto Perazzo,32,Santa Fe,Annual,,,,,,
1962,1960s,Uruguay,Jose Omar Verdun,36,Cucuta Deportivo,Annual,,,,,,
1963,1960s,Uruguay,Jose Omar Verdun,36,Cucuta Deportivo,Annual,,,,,,
1963,1960s, Argentina,Omar Lorenzo Devanni,36,Atletico Bucaramanga,Annual,,,,,,
1964,1960s, Argentina,Omar Lorenzo Devanni,28,Union Magdalena,Annual,,,,,,
1965,1960s, Argentina,Perfecto Rodriguez,38,Independiente Medellin,Annual,,,,,,
1966,1960s, Argentina,Omar Lorenzo Devanni,31,Santa Fe,Annual,,,,,,
1967,1960s, Argentina,Jose Maria Ferrero,38,Millonarios,Annual,,,,,,
1968,1960s, Argentina,Jose Maria Ferrero,32,Millonarios,Annual,,,,,,
1969,1960s, Argentina,Hugo Horacio Londero,24,America de Cali,Annual,,,,,,
1970,1970s, Argentina,Jose Maria Ferrero,27,Cucuta Deportivo,Annual,,,,,,
1970,1970s,Uruguay,Walter Sossa,27,Santa Fe,Annual,,,,,,
1971,1970s, Argentina,Hugo Horacio Londero,27,Cucuta Deportivo,Annual,,,,,,
1971,1970s,Paraguay,Apolinar Paniagua,27,Deportivo Pereira,Annual,,,,,,
1972,1970s, Argentina,Hugo Horacio Londero,30,Cucuta Deportivo,Annual,,,,,,
1973,1970s,Uruguay,Nelson Silva Pacheco,36,Junior,Annual,,,,,,
1974,1970s, Brasil,Victor Ephanor,33,Junior,Annual,,,,,,
1975,1970s, Argentina,Jorge Ramon Caceres,35,Deportivo Pereira,Annual,,,,,,
1976,1970s, Argentina,Miguel Angel Converti,33,Millonarios,Annual,,,,,,
1977,1970s, Argentina,Oswaldo Marcial Palavecino,30,Atletico Nacional,Annual,,,,,,
1978,1970s, Argentina,Oswaldo Marcial Palavecino,36,Atletico Nacional,Annual,,,,,,
1979,1970s, Argentina,Juan Jose Irigoyen,33,Millonarios,Annual,,,,,,
1980,1980s, Argentina,Sergio Cierra,26,Deportivo Pereira,Annual,,,,,,
1981,1980s, Argentina,Víctor Hugo del Rio,29,Deportes Tolima,Annual,,,,,,
1982,1980s, Argentina,Miguel Oswaldo Gonzalez,27,Atletico Bucaramanga,Annual,,,,,,
1983,1980s, Argentina,Hugo Gottardi,29,Santa Fe,Annual,,,,,,
1984,1980s, Argentina,Hugo Gottardi,23,Santa Fe,Annual,,,,,,
1985,1980s, Argentina,Miguel Oswaldo González,33,Atletico Bucaramanga,Annual,,,,,,
1986,1980s, Argentina,Hector Sosa,23,Independiente Medellin,Annual,,,,,,
1987,1980s, Chile,Jorge Aravena,23,Deportivo Cali,Annual,,,,,,
1988,1980s, Colombia,Sergio Angulo,29,Santa Fe,Annual,,,,,,
1990,1990s, Colombia,Antony de Avila,25,America de Cali,Annual,,,,,,
1991,1990s, Colombia,Ivan Rene Valenciano,30,Junior,Annual,,,,,,
1992,1990s, Colombia,John Jairo Trellez,25,Atletico Nacional,Annual,,,,,,
1993,1990s, Colombia,Niche Guerrero,34,Junior,Annual,,,,,,
1994,1990s, Colombia,Ruben Dario Hernandez,32,Independiente Medellin,Annual,,,,,,
1995,1990s, Colombia,Ivan Rene Valenciano,24,Junior,Semestral,,,,,,
1996,1990s, Colombia,Ivan Rene Valenciano,36,Junior,Annual,,,,,,
1997,1990s, Colombia,Hamilton Ricard,36,Deportivo Cali,Annual,,,,,,
1998,1990s, Colombia,Victor Bonilla,37,Deportivo Cali,Annual,,,,,,
1999,1990s, Argentina,Sergio Galvan,26,Once Caldas,Annual,,,,,,
2000,2000s, Colombia,Carlos Castro,24,Millonarios,Annual,,,,,,
2001,2000s, Colombia,Carlos Castro,29,Millonarios,Annual,,,,,,
2001,2000s, Colombia,Jorge Serna,29,Independiente Medellin,Annual,,,,,,
2002,2000s, Colombia,Luis Zuleta,13,Union Magdalena,Semestral,,,,,Colombia,1166
2002,2000s, Colombia,Orlando Ballesteros,13,Atletico Bucaramanga,Semestral,,,,,Otros Paises,1336
2002,2000s, Colombia,Milton Rodriguez,13,Deportivo Pereira,Semestral,,,,,,
2003,2000s, Colombia,Arnulfo Valentierra,13,Once Caldas,Semestral,,,,,,
2003,2000s, Colombia,Leider Preciado,17,Deportivo Cali,Semestral,,,,,,
2004,2000s, Colombia,Sergio Herrera,13,America de Cali,Semestral,,,,,,
2004,2000s, Colombia,Leonardo Fabio Moreno,15,America de Cali,Semestral,,,,,,
2004,2000s, Colombia,Leider Preciado,15,Santa Fe,Semestral,,,,,,
2005,2000s, Colombia,Victor Hugo Aristizabal,16,Atletico Nacional,Semestral,,,,,,
2005,2000s, Colombia,Jamerson Renteria,12,Real Cartagena,Semestral,,,,,,
2005,2000s, Colombia,Hugo Rodallega,12,Deportivo Cali,Semestral,,,,,,
2006,2000s, Colombia,Jorge Diaz,15,Cucuta Deportivo,Semestral,,,,,,
2006,2000s, Colombia,Diego Alvarez,11,Independiente Medellin,Semestral,,,,,,
2006,2000s, Colombia,John Charria,11,Deportes Tolima,Semestral,,,,,,
2007,2000s, Colombia,Freddy Montero,13,Atletico Huila,Semestral,,,,,,
2007,2000s, Argentina,Sergio Galvan,13,Atletico Nacional,Semestral,,,,,,
2007,2000s, Colombia,Dayro Moreno,16,Once Caldas,Semestral,,,,,,
2008,2000s, Argentina,Miguel Caneo,13,Boyaca Chico,Semestral,,,,,,
2008,2000s, Colombia,Ivan Velasquez,13,Deportes Quindio,Semestral,,,,,,
2008,2000s, Colombia,Freddy Montero,16,Deportivo Cali,Semestral,,,,,,
2009,2000s, Colombia,Teofilo Gutierrez,16,Junior,Semestral,,,,,,
2009,2000s, Colombia,Jackson Martínez,18,Independiente Medellin,Semestral,,,,,,
2010,2010s, Colombia,Carlos Bacca,12,Junior,Semestral,,,,,,
2010,2010s, Colombia,Carlos Renteria,12,La Equidad,Semestral,,,,,,
2010,2010s, Colombia,Wilder Medina,16,Deportes Tolima,Semestral,,,,,,
2010,2010s, Colombia,Dayro Moreno,16,Atletico Nacional,Semestral,,,,,,
2011,2010s, Colombia,Carlos Renteria,12,Atletico Nacional,Semestral,,,,,,
2011,2010s, Colombia,Carlos Bacca,12,Junior,Semestral,,,,,,
2012,2010s,Paraguay,Robin Ramirez,13,Deportes Tolima,Semestral,,,,,,
2012,2010s, Argentina,German Cano,9,Independiente Medellin,Semestral,,,,,,
2012,2010s, Colombia,Henry Hernandez,9,Cucuta Deportivo,Semestral,,,,,,
2012,2010s, Colombia,Carmelo Valencia,9,La Equidad,Semestral,,,,,,
2013,2010s, Colombia,Wilder Medina,12,Santa Fe,Semestral,,,,,,
2013,2010s, Colombia,Dayro Moreno,16,Millonarios,Semestral,,,,,,
2013,2010s, Colombia,Luis Carlos Ruiz,16,Junior,Semestral,,,,,,
2014,2010s, Colombia,Dayro Moreno,13,Millonarios,Semestral,,,Año,Equipo,Jugador,
2014,2010s, Argentina,German Cano,16,Independiente Medellin,Semestral,,,2011,12, Colombia,
2015,2010s, Colombia,Fernando Uribe,15,Millonarios,Semestral,,,,,,
2015,2010s, Colombia,Jefferson Duque,15,Atletico Nacional,Semestral,,,,,,
2016,2010s, Colombia,Miguel Borja,19,Cortulua,Semestral,,,,,,
2016,2010s, Colombia,Ayron del Valle,12,Millonarios,Semestral,,,,,,
2017,2010s, Colombia,Dayro Moreno,14,Atletico Nacional,Semestral,,,,,,
2017,2010s, Colombia,Ayron del Valle,11,Millonarios,Semestral,,,,,,
2017,2010s, Colombia,Yimmi Chara,11,Junior,Semestral,,,,,,
2017,2010s, Colombia,Dayro Moreno,11,Atletico Nacional,Semestral,,,,,,
2017,2010s, Colombia,Carmelo Valencia,11,La Equidad,Semestral,,,,,,
2018,2010s, Argentina,German Cano,12,Independiente Medellin,Semestral,,,,,,
2018,2010s, Argentina,German Cano,20,Independiente Medellin,Semestral,,,,,,
2019,2010s, Argentina,German Cano,21,Independiente Medellin,Semestral,,,,,,
2019,2010s, Argentina,German Cano,13,Independiente Medellin,Semestral,,,,,,
2019,2010s, Colombia,Michael Rangel,13,America de Cali,Semestral,,,,,,
2021,2020s, Colombia,Jefferson Duque,11,Atletico Nacional,Semestral,,,,,,
2021,2020s, Colombia,Fernando Uribe,11,Millonarios,Semestral,,,,,,
2021,2020s, Colombia,Diego Herazo,11,La Equidad,Semestral,,,,,,
2021,2020s, Colombia,Harold Preciado,13,Deportivo Cali,Semestral,,,,,,
2022,2020s, Colombia,Dayro Moreno,13,Atletico Bucaramanga,Semestral,,,,,,
2022,2020s, Colombia,Leonardo Fabio Castro,15,Deportivo Pereira,Semestral,,,,,,
2023,2020s, Colombia,Marco Perez,13,Aguilas Doradas,Semestral,,,,,,
2023,2020s, Colombia,Carlos Bacca,18,Junior,Semestral,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,…..,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Millonarios,390,,,
,,,,,,,,Otros,2112,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,….,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,…..,,,
